num,num_in_list,name,profile,response,level_to_speach,level,classes_to_speach,class,min_class,max_class,prof_subject,stage
149,37,Московская олимпиада школьников,экономика,экономика,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,экономика,отборочный и финал
150,38,Общероссийская олимпиада школьников «Основы православной культуры»,основы православной культуры,история,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,"теология, история","отборочный муниципальный, отборочный региональный и заключительный"
151,39,Объединенная межвузовская математическая олимпиада школьников,математика,математика,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,математика,первый тур и финал
152,40,Океан знаний,обществознание,обществознание,третий,3,с десятого по одиннадцатый,с 10 по 11,10,11,обществознание,отборочный и финал
153,40,Океан знаний,русский язык,русский язык,третий,3,с десятого по одиннадцатый,с 10 по 11,10,11,русский язык,отборочный и финал
154,41,Олимпиада Курчатов,математика,математика,второй,2,с шестого по одиннадцатый,с 6 по 11,6,11,математика,отборочный и финал
155,41,Олимпиада Курчатов,физика,физика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,физика,отборочный и финал
156,42,Олимпиада МГИМО МИД России для школьников,гуманитарные и социальные науки,обществознание,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,"история, обществознание",отборочный и заключительный
157,43,Олимпиада по архитектуре СПбГАСУ,рисунок и архитектурная композиция,искусство,третий,3,с девятого по одиннадцатый,с 9 по 11,9,11,"архитектура, реконструкция и реставрация архитектурного наследия, градостроительство",отборочный и заключительный в два тура
158,44,Олимпиада по комплексу предметов «Культура и искусство»,"академический рисунок, живопись, композиция, история искусства и культуры",искусство,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,"дизайн, графика, искусство, народные промыслы, технология художественной обработки материалов",отборочный и заключительный
159,44,Олимпиада по комплексу предметов «Культура и искусство»,технический рисунок и декоративная композиция,искусство,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,"дизайн, графика, искусство костюма и текстиля",отборочный и заключительный
160,45,Олимпиада РГГУ для школьников,иностранный язык,иностранный язык,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,иностранный язык,отборочный и заключительный
161,45,Олимпиада РГГУ для школьников,история,история,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,история,отборочный и заключительный
162,45,Олимпиада РГГУ для школьников,литература,литература,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,литература,отборочный и заключительный
163,45,Олимпиада РГГУ для школьников,обществознание,обществознание,третий,3,с девятого по одиннадцатый,с 9 по 11,9,11,обществознание,отборочный и заключительный
164,45,Олимпиада РГГУ для школьников,русский язык,русский язык,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,русский язык,отборочный и заключительный
165,46,Олимпиада школьников «Высокие технологии и материалы будущего»,нанотехнологии,информатика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,"химия, физика, математика, биология","подготовительный, основной и заключительный"
166,47,Олимпиада школьников «Гранит науки»,информатика,информатика,третий,3,с девятого по одиннадцатый,с 9 по 11,9,11,информатика,отборочный и заключительный
167,,Олимпиада школьников «Гранит науки»,химия,химия,третий,3,с девятого по одиннадцатый,с 9 по 11,9,11,химия,отборочный и заключительный
168,48,Олимпиада школьников «Ломоносов»,биология,биология,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,биология,отборочный и заключительный
169,48,Олимпиада школьников «Ломоносов»,генетика,биология,третий,3,с девятого по одиннадцатый,с 9 по 11,9,11,генетика,отборочный и заключительный
170,48,Олимпиада школьников «Ломоносов»,география,география,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,география,отборочный и заключительный
