num,num_in_list,name,profile,response,level,min_class,max_class,prof_subject,stage,link
122,33,Межрегиональная олимпиада школьников «Евразийская лингвистическая олимпиада»,иностранный язык,иностранный язык,1,7,11,иностранный язык,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5003
123,34,Межрегиональная олимпиада школьников имени В.Е. Татлина,графика,искусство,2,8,11,искусство,отборочный и заключительный,https://olimpiada.ru/activity/5298
124,34,Межрегиональная олимпиада школьников имени В.Е. Татлина,композиция,искусство,2,8,11,искусство,отборочный и заключительный,https://olimpiada.ru/activity/5298
125,34,Межрегиональная олимпиада школьников имени В.Е. Татлина,рисунок,искусство,2,8,11,искусство,отборочный и заключительный,https://olimpiada.ru/activity/5298
126,35,Межрегиональная олимпиада школьников имени И.Я. Верченко,компьютерная безопасность,информатика,2,8,11,информационная безопасность,отборочный и заключительный,https://olimpiada.ru/activity/236
127,35,Межрегиональная олимпиада школьников имени И.Я. Верченко,математика,математика,2,8,11,"математика, криптография",отборочный и заключительный,https://olimpiada.ru/activity/24
128,36,Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,иностранный язык,иностранный язык,3,9,11,иностранный язык,отборочный и заключительный,https://olimpiada.ru/activity/171
129,36,Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,математика,математика,2,9,11,математика,отборочный и заключительный,https://olimpiada.ru/activity/174
130,36,Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,обществознание,обществознание,3,9,11,обществознание,отборочный и заключительный,https://olimpiada.ru/activity/173
131,36,Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,физика,физика,2,9,11,физика,отборочный и заключительный,https://olimpiada.ru/activity/175
132,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,геология,география,3,8,11,науки о земле,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/381
133,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,дизайн,искусство,1,8,11,дизайн,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5755
134,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,иностранный язык,иностранный язык,3,5,11,иностранный язык,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/5664
135,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,информатика,информатика,3,5,11,информатика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/377
136,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,математика,математика,3,5,11,математика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/375
137,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,русский язык,русский язык,2,5,11,русский язык,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/372
138,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,физика,физика,2,8,11,физика,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/376
139,37,Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,химия,химия,1,8,11,химия,дистанционный отборочный и заключительный,https://olimpiada.ru/activity/379
140,38,Многопредметная олимпиада «Юные таланты»,география,география,1,5,11,география,отборочный и финал,https://olimpiada.ru/activity/211
141,38,Многопредметная олимпиада «Юные таланты»,геология,география,3,5,11,геология,отборочный и финал,https://olimpiada.ru/activity/430
142,38,Многопредметная олимпиада «Юные таланты»,химия,химия,1,9,11,химия,отборочный и финал,https://olimpiada.ru/activity/222
143,39,Многопрофильная инженерная олимпиада «Звезда»,техника и технологии,технология,3,7,11," машиностроение, авиационная и ракетно-космическая техника, технологии наземного транспорта, кораблестроение, информационная безопасность, химические технологии",отборочный и финал,https://olimpiada.ru/activity/5663
144,39,Многопрофильная инженерная олимпиада «Звезда»,естественные науки,биология,3,6,11,"биология, информатика, математика, химия, физика",отборочный и финал,https://olimpiada.ru/activity/5322
145,40,Московская олимпиада школьников,астрономия,астрономия,2,5,11,астрономия,отборочный и финал,https://olimpiada.ru/activity/99
146,40,Московская олимпиада школьников,вероятность и статистика,математика,3,6,11,"вероятность и статистика, математика",отборочный и финал,https://olimpiada.ru/activity/55
147,40,Московская олимпиада школьников,генетика,биология,2,8,11,биология,отборочный и финал,https://olimpiada.ru/activity/5753
148,40,Московская олимпиада школьников,география,география,1,5,11,география,отборочный и финал,https://olimpiada.ru/activity/104
149,40,Московская олимпиада школьников,изобразительное искусство,искусство,2,5,11,искусство,отборочный и финал,https://olimpiada.ru/activity/126
150,40,Московская олимпиада школьников,информатика,информатика,1,6,11,информатика,отборочный и финал,https://olimpiada.ru/activity/102
151,40,Московская олимпиада школьников,история,история,2,5,11,история,отборочный и финал,https://olimpiada.ru/activity/103
152,40,Московская олимпиада школьников,история искусств,искусство,1,9,11,искусство,отборочный и финал,https://olimpiada.ru/activity/5470
153,40,Московская олимпиада школьников,лингвистика,лингвистика,1,8,11,"русский язык, иностранный язык",отборочный и финал,https://olimpiada.ru/activity/39
154,40,Московская олимпиада школьников,математика,математика,1,8,11,математика,отборочный и финал,https://olimpiada.ru/activity/1
155,40,Московская олимпиада школьников,обществознание,обществознание,2,8,11,обществознание,отборочный и финал,https://olimpiada.ru/activity/106
156,40,Московская олимпиада школьников,право,право,2,8,11,право,отборочный и финал,https://olimpiada.ru/activity/111
157,40,Московская олимпиада школьников,предпрофессиональная олимпиада,информатика,3,8,11,"биологические науки, информационная безопасность, информатика, машиностроение, промышленная экология и биотехнология , техносферная безопасность и природообустройство, фотоника, приборостроение, электроника, радиотехника, системы связи, ядерная энергетика",отборочный и финал,https://olimpiada.ru/activity/5466
158,40,Московская олимпиада школьников,робототехника,информатика,3,5,11,"машиностроение, математика и механика, информатика и вычислительная техника",отборочный и финал,https://olimpiada.ru/activity/5346
159,40,Московская олимпиада школьников,физика,физика,1,7,11,физика,отборочный и финал,https://olimpiada.ru/activity/108
160,40,Московская олимпиада школьников,филология,литература,3,5,10,"русский язык, литература,
филология",отборочный и финал,https://olimpiada.ru/activity/40
161,40,Московская олимпиада школьников,финансовая грамотность,экономика,3,5,11,экономика,отборочный и финал,https://olimpiada.ru/activity/5451
162,40,Московская олимпиада школьников,химия,химия,1,8,11,химия,отборочный и финал,https://olimpiada.ru/activity/109
163,40,Московская олимпиада школьников,экономика,экономика,2,5,11,экономика,отборочный и финал,https://olimpiada.ru/activity/110
164,41,Общероссийская олимпиада школьников «Основы православной культуры»,основы православной культуры,история,2,5,11,"теология, история","отборочный муниципальный, отборочный региональный и заключительный",https://olimpiada.ru/activity/194
165,42,Объединенная межвузовская математическая олимпиада школьников,математика,математика,2,9,11,математика,первый тур и финал,https://olimpiada.ru/activity/6
166,43,Океан знаний,обществознание,обществознание,3,10,11,обществознание,отборочный и финал,https://olimpiada.ru/activity/5050
167,43,Океан знаний,русский язык,русский язык,3,10,11,русский язык,отборочный и финал,https://olimpiada.ru/activity/5047
168,44,Олимпиада Курчатов,математика,математика,1,6,11,математика,отборочный и финал,https://olimpiada.ru/activity/389
169,44,Олимпиада Курчатов,физика,физика,1,7,11,физика,отборочный и финал,https://olimpiada.ru/activity/388
170,45,Олимпиада МГИМО МИД России для школьников,гуманитарные и социальные науки,история,2,8,11,"история, обществознание",отборочный и заключительный,https://olimpiada.ru/activity/5005
171,46,Олимпиада по архитектуре СПбГАСУ,рисунок и архитектурная композиция,искусство,1,9,11,"архитектура, реконструкция и реставрация архитектурного наследия, градостроительство",отборочный и заключительный в два тура,https://olimpiada.ru/activity/5808
172,47,Олимпиада по комплексу предметов «Культура и искусство»,"академический рисунок, живопись, композиция, история искусства и культуры",искусство,1,5,11,"дизайн, графика, искусство, народные промыслы, технология художественной обработки материалов",отборочный и заключительный,https://olimpiada.ru/activity/5435
173,47,Олимпиада по комплексу предметов «Культура и искусство»,технический рисунок и декоративная композиция,искусство,1,5,11,"дизайн, графика, искусство костюма и текстиля",отборочный и заключительный,https://olimpiada.ru/activity/5436
174,48,Олимпиада РГГУ для школьников,иностранный язык,иностранный язык,2,9,11,иностранный язык,отборочный и заключительный,https://olimpiada.ru/activity/390
175,48,Олимпиада РГГУ для школьников,история,история,2,9,11,история,отборочный и заключительный,https://olimpiada.ru/activity/392
176,48,Олимпиада РГГУ для школьников,литература,литература,2,9,11,литература,отборочный и заключительный,https://olimpiada.ru/activity/5360
177,48,Олимпиада РГГУ для школьников,обществознание,обществознание,3,9,11,обществознание,отборочный и заключительный,https://olimpiada.ru/activity/393
178,48,Олимпиада РГГУ для школьников,русский язык,русский язык,2,9,11,русский язык,отборочный и заключительный,https://olimpiada.ru/activity/391
179,49,Олимпиада школьников «Высокие технологии и материалы будущего»,нанотехнологии,информатика,1,5,11,"химия, физика, математика, биология","подготовительный, основной и заключительный",https://olimpiada.ru/activity/251
180,50,Олимпиада школьников «Гранит науки»,информатика,информатика,3,9,11,информатика,отборочный и заключительный,https://olimpiada.ru/activity/5481
181,50,Олимпиада школьников «Гранит науки»,химия,химия,3,9,11,химия,отборочный и заключительный,https://olimpiada.ru/activity/5480
182,51,Олимпиада школьников «Ломоносов»,биология,биология,1,5,11,биология,отборочный и заключительный,https://olimpiada.ru/activity/324
183,51,Олимпиада школьников «Ломоносов»,генетика,биология,3,9,11,биологические науки,отборочный и заключительный,https://olimpiada.ru/activity/5762
184,51,Олимпиада школьников «Ломоносов»,география,география,1,5,11,география,отборочный и заключительный,https://olimpiada.ru/activity/354
185,51,Олимпиада школьников «Ломоносов»,геология,география,1,5,11,геологиянауки о земле,отборочный и заключительный,https://olimpiada.ru/activity/345
186,51,Олимпиада школьников «Ломоносов»,журналистика,журналистика,1,5,11,журналистика,отборочный и заключительный,https://olimpiada.ru/activity/326
187,51,Олимпиада школьников «Ломоносов»,инженерные науки,химия,2,5,11,"химия, физика и астрономия",отборочный и заключительный,https://olimpiada.ru/activity/5356
188,51,Олимпиада школьников «Ломоносов»,иностранный язык,иностранный язык,1,5,11,иностранный язык,отборочный и заключительный,https://olimpiada.ru/activity/325
189,51,Олимпиада школьников «Ломоносов»,информатика,информатика,2,7,11,информатика,отборочный и заключительный,https://olimpiada.ru/activity/343
190,51,Олимпиада школьников «Ломоносов»,история,история,1,5,11,история,отборочный и заключительный,https://olimpiada.ru/activity/353
191,51,Олимпиада школьников «Ломоносов»,космонавтика,астрономия,2,5,11,космические исследования и космонавтика,отборочный и заключительный,https://olimpiada.ru/activity/5620
192,51,Олимпиада школьников «Ломоносов»,литература,литература,1,5,11,литература,отборочный и заключительный,https://olimpiada.ru/activity/349
193,51,Олимпиада школьников «Ломоносов»,математика,математика,1,5,11,математика,отборочный и заключительный,https://olimpiada.ru/activity/348
194,51,Олимпиада школьников «Ломоносов»,международные отношения и глобалистика,история,1,5,11,история,отборочный и заключительный,https://olimpiada.ru/activity/341
195,51,Олимпиада школьников «Ломоносов»,механика и математическое моделирование,математика,2,7,11,механика и математическое моделирование,отборочный и заключительный,https://olimpiada.ru/activity/356
196,51,Олимпиада школьников «Ломоносов»,обществознание,обществознание,1,5,11,обществознание,отборочный и заключительный,https://olimpiada.ru/activity/351
197,51,Олимпиада школьников «Ломоносов»,история российской государственности,история,1,5,11,"история, обществознание",отборочный и заключительный,https://olimpiada.ru/activity/156
198,51,Олимпиада школьников «Ломоносов»,политология,обществознание,2,7,11,история,отборочный и заключительный,https://olimpiada.ru/activity/342
199,51,Олимпиада школьников «Ломоносов»,право,право,1,8,11,юриспруденция,отборочный и заключительный,https://olimpiada.ru/activity/340
200,51,Олимпиада школьников «Ломоносов»,предпринимательство,бизнес,3,8,11,менеджмент,отборочный и заключительный,https://olimpiada.ru/activity/5723
201,51,Олимпиада школьников «Ломоносов»,психология,социология,1,5,11,психология,отборочный и заключительный,https://olimpiada.ru/activity/328
202,51,Олимпиада школьников «Ломоносов»,религиоведение,история,3,5,11,религиоведение,отборочный и заключительный,https://olimpiada.ru/activity/5763
